study_id,pmid,assessment_type,domain,assessment,supporting_evidence,judgment,comments,assessor_initials,assessment_date,overall_rob_rating
STUDY_0128,35043006,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0128,35043006,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0128,35043006,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0129,35043007,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0129,35043007,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0129,35043007,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0129,35043007,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0129,35043007,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0129,35043007,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0129,35043007,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0130,35043008,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0130,35043008,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0130,35043008,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0130,35043008,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0130,35043008,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0130,35043008,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0130,35043008,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0131,35043009,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0131,35043009,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0131,35043009,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0131,35043009,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0131,35043009,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0131,35043009,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0131,35043009,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0132,35043010,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0132,35043010,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0132,35043010,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0132,35043010,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0132,35043010,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0132,35043010,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0132,35043010,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0133,35043011,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0133,35043011,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0133,35043011,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0133,35043011,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0133,35043011,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0133,35043011,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0133,35043011,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0134,35043012,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0134,35043012,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0134,35043012,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0134,35043012,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0134,35043012,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0134,35043012,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0134,35043012,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0135,35043013,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0135,35043013,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0135,35043013,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0135,35043013,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0135,35043013,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0135,35043013,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0135,35043013,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0136,35043014,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0136,35043014,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0136,35043014,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0136,35043014,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0136,35043014,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0136,35043014,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0136,35043014,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0137,35043015,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0137,35043015,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0137,35043015,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0137,35043015,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0137,35043015,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0137,35043015,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0137,35043015,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0138,35043016,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0138,35043016,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0138,35043016,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0138,35043016,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0138,35043016,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0138,35043016,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0138,35043016,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0139,35043017,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0139,35043017,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0139,35043017,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0139,35043017,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0139,35043017,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0139,35043017,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0139,35043017,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0140,35043018,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0140,35043018,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0140,35043018,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0140,35043018,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0140,35043018,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0140,35043018,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0140,35043018,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0141,35043019,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0141,35043019,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0141,35043019,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0141,35043019,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0141,35043019,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0141,35043019,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0141,35043019,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0142,35043020,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0142,35043020,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0142,35043020,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0142,35043020,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0142,35043020,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0142,35043020,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0142,35043020,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0143,35043021,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0143,35043021,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0143,35043021,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0143,35043021,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0143,35043021,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0143,35043021,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0143,35043021,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0144,35043022,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0144,35043022,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0144,35043022,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0144,35043022,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0144,35043022,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0144,35043022,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0144,35043022,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0145,35043023,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0145,35043023,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0145,35043023,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0145,35043023,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0145,35043023,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0145,35043023,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0145,35043023,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0146,35043024,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0146,35043024,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0146,35043024,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0146,35043024,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0146,35043024,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0146,35043024,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0146,35043024,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0147,35043025,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0147,35043025,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0147,35043025,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0147,35043025,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0147,35043025,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0147,35043025,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0147,35043025,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0148,35043026,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0148,35043026,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0148,35043026,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0148,35043026,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0148,35043026,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0148,35043026,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0148,35043026,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0149,35043027,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0149,35043027,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0149,35043027,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0149,35043027,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0149,35043027,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0149,35043027,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0149,35043027,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0150,35043028,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0150,35043028,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0150,35043028,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0150,35043028,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0150,35043028,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0150,35043028,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0150,35043028,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0151,35043029,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0151,35043029,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0151,35043029,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0151,35043029,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0151,35043029,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0151,35043029,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0151,35043029,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0152,35043030,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0152,35043030,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0152,35043030,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0152,35043030,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0152,35043030,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0152,35043030,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0152,35043030,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0153,35043031,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0153,35043031,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0153,35043031,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0153,35043031,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0153,35043031,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0153,35043031,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0153,35043031,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0154,35043032,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0154,35043032,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0154,35043032,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0154,35043032,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0154,35043032,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0154,35043032,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0154,35043032,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0155,35043033,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0155,35043033,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0155,35043033,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0155,35043033,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0155,35043033,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0155,35043033,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0155,35043033,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0156,35043034,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0156,35043034,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0156,35043034,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0156,35043034,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0156,35043034,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0156,35043034,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0156,35043034,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0157,35043035,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0157,35043035,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0157,35043035,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0157,35043035,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0157,35043035,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0157,35043035,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0157,35043035,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0158,35043036,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
