study_id,pmid,title,extraction_date,extractor,verification_status,journal,year,authors,doi,study_design,unit_randomization,study_duration_months,number_arms,setting_type,hospital_beds,geographic_region,study_population,sample_size,baseline_mrsa_rate,baseline_vre_rate,baseline_esbl_rate,baseline_cre_rate,baseline_cdi_rate,baseline_antibiotic_consumption,intervention_duration_months,training_provided,implementation_team,outcomes_measured,primary_outcomes,ethical_approval,clinical_trial_registration,funding_disclosure
STUDY_0980,31692076,Impact of infection control measures on the related costs and the amount of broad-spectrum antimicrobial agents used in a hospital: A time-series analysis.,2025-10-13T10:07:55.984436,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,31692076,Other,Entire hospital,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['costs'],[],False,Not registered,False
STUDY_1045,36803370,Evaluation of duration of antibiotic therapy across hospitals in Scotland including the impact of COVID-19 pandemic: a segmented interrupted time series analysis.,2025-10-13T10:07:55.985142,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,36803370,ITS,Entire hospital,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_1061,31202924,Selective antibiotic susceptibility reporting and broad-spectrum intravenous antibiotic use: A multicentre ecological study.,2025-10-13T10:07:55.986644,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,31202924,Other,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['antibiotic_consumption'],['antibiotic_consumption'],False,Not registered,False
STUDY_1094,31650816,What Stops Doctors Switching from Intravenous to Oral Antibiotics?,2025-10-13T10:07:55.987766,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,31650816,Other,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_1121,30732979,Effect of carbapenem restriction on prescribing trends for immunocompromised wards at an academic medical center.,2025-10-13T10:07:55.988984,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,30732979,Other,Hospital ward/unit,12.0,2,Academic/teaching hospital,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_1142,18319126,Practical solutions to improve safety in the obstetrics/gynecology office setting and in the operating room.,2025-10-13T10:07:55.989850,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,18319126,Other,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_1151,30820545,"Association Between Antibiotic Use and Hospital-onset Clostridioides difficile Infection in US Acute Care Hospitals, 2006-2012: An Ecologic Analysis.",2025-10-13T10:07:55.990510,Automated System,Pending,Not specified,2012,Authors not extracted from abstract,30820545,Other,Entire hospital,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,"['antibiotic_consumption', 'length_stay']",['antibiotic_consumption'],False,Not registered,False
STUDY_1177,16415039,Reduction of broad-spectrum antibiotic use with computerized decision support in an intensive care unit.,2025-10-13T10:07:55.991239,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,16415039,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,ICU only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['antibiotic_consumption'],['antibiotic_consumption'],False,Not registered,True
STUDY_1181,15367178,Oral quinolones in hospitalized patients: an evaluation of a computerized decision support intervention.,2025-10-13T10:07:55.991637,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,15367178,Other,Entire hospital,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,True
STUDY_1198,28159671,Effect of an antibiotic checklist on length of hospital stay and appropriate antibiotic use in adult patients treated with intravenous antibiotics: a stepped wedge cluster randomized trial.,2025-10-13T10:07:55.992173,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,28159671,Cluster-RCT,Individual patient,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,"['antibiotic_consumption', 'length_stay']",['antibiotic_consumption'],False,Not registered,False
STUDY_1317,40032084,"Impact of a smartphone application for appropriate antibiotic prescribing at three tertiary hospitals: an international, multicentre stepped-wedge cluster randomized trial.",2025-10-13T10:07:55.993800,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,40032084,Cluster-RCT,Entire hospital,12.0,2,Tertiary care center,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_1452,34297040,Effect of rapid methicillin-resistant Staphylococcus aureus nasal polymerase chain reaction screening on vancomycin use in the intensive care unit.,2025-10-13T10:07:55.995160,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,34297040,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,ICU only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],True,Not registered,False
STUDY_1516,40338678,Methicillin-Resistant Staphylococcus aureus Nasal Screening With Polymerase Chain Reaction for Early De-escalation of Empiric Vancomycin in the Treatment of Suspected/Confirmed Respiratory Infection in Critically Ill Patients.,2025-10-13T10:07:55.996353,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,40338678,Other,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],True,Not registered,False
